Sample,UniqueReads2,DuplicateReads2,TotalReads2,percUnique2,percDuplicate2,UniqueReads3,DuplicateReads3,TotalReads3,percUnique3,percDuplicate3,diffTotal,percDiff,diffpercUnique,diffpercDuplicate
zr3616_1_R1_val_1_val_1,109992707,51112001,161104708,0.682740488,0.317259512,110124943,48331687,158456630,0.69498476,0.30501524,2648078,0.016436999,-0.012244272,0.012244272
zr3616_1_R2_val_2_val_2,110010991,51093717,161104708,0.68285398,0.31714602,110200400,48256230,158456630,0.69546096,0.30453904,2648078,0.016436999,-0.01260698,0.01260698
zr3616_2_R1_val_1_val_1,113969860,52862159,166832019,0.683141406,0.316858594,113905719,50831447,164737166,0.691439107,0.308560893,2094853,0.01255666,-0.008297701,0.008297701
zr3616_2_R2_val_2_val_2,114063383,52768636,166832019,0.683701988,0.316298012,114206653,50530513,164737166,0.69326586,0.30673414,2094853,0.01255666,-0.009563872,0.009563872
zr3616_3_R1_val_1_val_1,127144888,61230778,188375666,0.674953887,0.325046113,127399804,57226069,184625873,0.690043069,0.309956931,3749793,0.019905931,-0.015089182,0.015089182
zr3616_3_R2_val_2_val_2,127369014,61006652,188375666,0.676143669,0.323856331,127666785,56959088,184625873,0.691489134,0.308510866,3749793,0.019905931,-0.015345465,0.015345465
zr3616_4_R1_val_1_val_1,133249380,64572762,197822142,0.673581727,0.326418273,133388617,62015907,195404524,0.68262809,0.31737191,2417618,0.01222117,-0.009046363,0.009046363
zr3616_4_R2_val_2_val_2,133844397,63977745,197822142,0.676589565,0.323410435,134003460,61401064,195404524,0.685774604,0.314225396,2417618,0.01222117,-0.009185039,0.009185039
zr3616_5_R1_val_1_val_1,105553061,43003491,148556552,0.710524441,0.289475559,105611484,40781577,146393061,0.721424112,0.278575888,2163491,0.014563417,-0.010899671,0.010899671
zr3616_5_R2_val_2_val_2,105134498,43422054,148556552,0.707706907,0.292293093,105295191,41097870,146393061,0.719263538,0.280736462,2163491,0.014563417,-0.011556631,0.011556631
zr3616_6_R1_val_1_val_1,131701793,63119870,194821663,0.676012056,0.323987944,131929734,59630305,191560039,0.68871219,0.31128781,3261624,0.016741588,-0.012700134,0.012700134
zr3616_6_R2_val_2_val_2,131837026,62984637,194821663,0.676706194,0.323293806,132099112,59460927,191560039,0.689596393,0.310403607,3261624,0.016741588,-0.012890199,0.012890199
zr3616_7_R1_val_1_val_1,106906975,42173089,149080064,0.717111142,0.282888858,106941708,40576707,147518415,0.724938022,0.275061978,1561649,0.010475237,-0.00782688,0.00782688
zr3616_7_R2_val_2_val_2,106978268,42101796,149080064,0.717589362,0.282410638,107098485,40419930,147518415,0.726000784,0.273999216,1561649,0.010475237,-0.008411422,0.008411422
zr3616_8_R1_val_1_val_1,113023355,48286429,161309784,0.700660259,0.299339741,113139903,46242833,159382736,0.709862974,0.290137026,1927048,0.011946256,-0.009202715,0.009202715
zr3616_8_R2_val_2_val_2,113415454,47894330,161309784,0.703090979,0.296909021,113539237,45843499,159382736,0.712368478,0.287631522,1927048,0.011946256,-0.009277499,0.009277499
