"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"1","C12722",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"2","C12734",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"3","C12768",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"4","C12778",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"5","C12786",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"6","C12788",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"7","C12798",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"8","C12802",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"9","C12806",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"10","C12810",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"11","C12814",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"12","C12824",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"13","C12828",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"14","C12838",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"15","C12842",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"16","C12860",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"17","C12866",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"18","C12870",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"19","C12876",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"20","C12906",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"21","C12924",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"22","C12928",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"23","C12942",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"24","C12950",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"25","C12956",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"26","C12960",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"27","C12972",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"28","C12974",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"29","C13012",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"30","C13030",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"31","C13034",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"32","C13068",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"33","C13080",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"34","C13094",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"35","C13100",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"36","C13102",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"37","C13128",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"38","C13136",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"39","C13140",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"40","C13148",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"41","C13164",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"42","C13172",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"43","C13182",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"44","C13202",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"45","C13208",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"46","C13220",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"47","C13234",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"48","C13236",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"49","C13248",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"50","C13256",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
