"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"77","C14868",143,142,"+",3.54687522715362e-06,0.00173825071689429,65.2777777777778
"93","C14952",87,86,"+",3.72213942847981e-05,0.00910816767519063,61.1111111111111
"210","C15934",234,233,"+",7.17548299506991e-06,0.00289270483724126,55.1724137931034
"964","C18358",441,440,"+",2.18582778214984e-05,0.00630938364883577,59.2592592592593
"1280","C19224",509,508,"+",3.16039314188595e-05,0.00823793631641084,50.9216589861751
"1281","C19224",514,513,"+",9.11470074867865e-06,0.00345944395030458,51.505376344086
"1282","C19224",549,548,"+",3.46092328994742e-07,0.000322872700197784,52.9411764705882
"1883","C20084",764,763,"+",1.54267672461038e-08,3.0487679811629e-05,94.1176470588235
"1884","C20084",783,782,"+",2.48542361187227e-07,0.000249370645199851,87.8676470588235
"3517","C21528",1242,1241,"+",2.44331653825097e-12,2.57628795034472e-08,92.1212121212121
"3518","C21528",1307,1306,"+",7.24804670558177e-10,2.85063634684517e-06,62.5
"3519","C21528",1316,1315,"+",1.51603774532607e-08,3.02745225698613e-05,50.2747252747253
"4908","C22274",1609,1608,"+",1.31401152388106e-05,0.004424082807543,75
"5642","C22516",283,282,"+",1.01902030541162e-10,5.95713962927393e-07,51.7285531370038
"5648","C22516",376,375,"+",3.6359391770427e-09,9.88784849447705e-06,51.73343605547
"6202","C22628",1044,1043,"+",7.39602301050679e-07,0.000566723539743145,100
"6203","C22628",1054,1053,"+",1.0825088224469e-05,0.00382193368272697,100
"6204","C22628",1593,1592,"+",1.54644117492415e-06,0.000966603943000173,100
"6205","C22628",1624,1623,"+",4.00617913069118e-07,0.000359546296744814,100
"7698","C23042",1494,1493,"+",1.20253735381655e-05,0.00415216914810541,64.0732265446224
"9115","C23432",1648,1647,"+",1.0825088224469e-05,0.00382193368272697,100
"12004","C24224",1999,1998,"+",8.50693603677444e-11,5.12416291999084e-07,81.9277108433735
"12005","C24224",2012,2011,"+",6.75042164523393e-07,0.000531470834708657,74.4186046511628
"12778","C24276",1985,1984,"+",3.8148491996022e-06,0.00184140080278516,62.1266427718041
"14142","C24564",1617,1616,"+",2.01788937446174e-06,0.00117618041952094,55.1282051282051
"14173","C24564",1949,1948,"+",1.03139495432057e-08,2.26587234884955e-05,54.9450549450549
