A0NGI1	CGI_10010648	1e-31	TM234_ANOGA	reviewed	Transmembrane protein 234 homolog	AGAP012180	Anopheles gambiae (African malaria mosquito)	140		integral component of membrane [GO:0016021]		integral component of membrane [GO:0016021]	GO:0016021	CGI_10010648	scaffold1127	45024	45026	100	mRNA	43951	45586
A1L2Y1	CGI_10019566	7e-07	FSIP1_XENLA	reviewed	Fibrous sheath-interacting protein 1	fsip1	Xenopus laevis (African clawed frog)	459						CGI_10019566	scaffold1794	46921	46923	-100	mRNA	42711	62714
A2AHJ4	CGI_10020687	0.0	BRWD3_MOUSE	reviewed	Bromodomain and WD repeat-containing protein 3	Brwd3 Gm596	Mus musculus (Mouse)	1799	cytoskeleton organization [GO:0007010]; regulation of cell shape [GO:0008360]; regulation of transcription from RNA polymerase II promoter [GO:0006357]	nucleus [GO:0005634]		nucleus [GO:0005634]; cytoskeleton organization [GO:0007010]; regulation of cell shape [GO:0008360]; regulation of transcription from RNA polymerase II promoter [GO:0006357]	GO:0005634; GO:0006357; GO:0007010; GO:0008360	CGI_10020687	scaffold288	633290	633292	100	mRNA	617164	636803
A2AWP0	CGI_10026569	7e-19	BIRC7_MOUSE	reviewed	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Livin) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30 kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Birc7 Livin	Mus musculus (Mouse)	285	inhibition of cysteine-type endopeptidase activity involved in apoptotic process [GO:1990001]; negative regulation of apoptotic process [GO:0043066]; protein ubiquitination [GO:0016567]; regulation of cell proliferation [GO:0042127]; regulation of natural killer cell apoptotic process [GO:0070247]; regulation of signal transduction [GO:0009966]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]	cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; inhibition of cysteine-type endopeptidase activity involved in apoptotic process [GO:1990001]; negative regulation of apoptotic process [GO:0043066]; protein ubiquitination [GO:0016567]; regulation of cell proliferation [GO:0042127]; regulation of natural killer cell apoptotic process [GO:0070247]; regulation of signal transduction [GO:0009966]	GO:0004842; GO:0005634; GO:0005737; GO:0005794; GO:0005815; GO:0005829; GO:0009966; GO:0016567; GO:0042127; GO:0043027; GO:0043066; GO:0046872; GO:0070247; GO:1990001	CGI_10026569	scaffold145	960693	960695	100	mRNA	959637	969232
A2BGR3	CGI_10025557	0.0	ERC6L_DANRE	reviewed	DNA excision repair protein ERCC-6-like (EC 3.6.4.12) (ATP-dependent helicase ERCC6-like)	ercc6l si:ch211-278b8.3	Danio rerio (Zebrafish) (Brachydanio rerio)	1451	cell cycle [GO:0007049]; cell division [GO:0051301]; intein-mediated protein splicing [GO:0016539]	condensed chromosome kinetochore [GO:0000777]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]	condensed chromosome kinetochore [GO:0000777]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; cell cycle [GO:0007049]; cell division [GO:0051301]; intein-mediated protein splicing [GO:0016539]	GO:0000777; GO:0003677; GO:0004386; GO:0005524; GO:0007049; GO:0016539; GO:0051301	CGI_10025557	scaffold370	652930	652932	100	mRNA	630608	656609
A4D0V7	CGI_10020074	2e-71	CPED1_HUMAN	reviewed	Cadherin-like and PC-esterase domain-containing protein 1	CPED1 C7orf58 UNQ9432/PRO34713	Homo sapiens (Human)	1026		endoplasmic reticulum [GO:0005783]		endoplasmic reticulum [GO:0005783]	GO:0005783	CGI_10020074	scaffold258	549090	549092	100	mRNA	540142	564206
A4IF87	CGI_10011812	2e-148	GNPAT_BOVIN	reviewed	Dihydroxyacetone phosphate acyltransferase (DAP-AT) (DHAP-AT) (EC 2.3.1.42) (Acyl-CoA:dihydroxyacetonephosphateacyltransferase) (Glycerone-phosphate O-acyltransferase)	GNPAT	Bos taurus (Bovine)	680	ether lipid biosynthetic process [GO:0008611]; glycerophospholipid metabolic process [GO:0006650]	peroxisomal membrane [GO:0005778]	glycerone-phosphate O-acyltransferase activity [GO:0016287]	peroxisomal membrane [GO:0005778]; glycerone-phosphate O-acyltransferase activity [GO:0016287]; ether lipid biosynthetic process [GO:0008611]; glycerophospholipid metabolic process [GO:0006650]	GO:0005778; GO:0006650; GO:0008611; GO:0016287	CGI_10011812	scaffold43692	75103	75105	100	mRNA	63821	78304
A6NHR9	CGI_10013732	0.0	SMHD1_HUMAN	reviewed	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1)	SMCHD1 KIAA0650	Homo sapiens (Human)	2005	chromosome organization [GO:0051276]; inactivation of X chromosome by DNA methylation [GO:0060821]; nose development [GO:0043584]	Barr body [GO:0001740]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	Barr body [GO:0001740]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; chromosome organization [GO:0051276]; inactivation of X chromosome by DNA methylation [GO:0060821]; nose development [GO:0043584]	GO:0001740; GO:0005524; GO:0016887; GO:0043584; GO:0051276; GO:0060821	CGI_10013732	scaffold43878	343347	343349	100	mRNA	331528	360286
A6QQ68	CGI_10009117	2e-24	F228B_BOVIN	reviewed	Protein FAM228B	FAM228B	Bos taurus (Bovine)	264						CGI_10009117	scaffold43184	175852	175854	-100	mRNA	172157	193737
A6QQP7	CGI_10024760	0.0	DYSF_BOVIN	reviewed	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)	DYSF FER1L1	Bos taurus (Bovine)	2107	vesicle fusion [GO:0006906]	cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]	calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]	cytoplasmic vesicle membrane [GO:0030659]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]; vesicle fusion [GO:0006906]	GO:0005509; GO:0005543; GO:0005886; GO:0006906; GO:0016021; GO:0030659; GO:0042383	CGI_10024760	scaffold70	199391	199393	100	mRNA	171032	212395
A6QR44	CGI_10006425	1e-85	DGCR8_BOVIN	reviewed	Microprocessor complex subunit DGCR8 (DiGeorge syndrome critical region 8 homolog)	DGCR8	Bos taurus (Bovine)	760	primary miRNA processing [GO:0031053]; regulation of stem cell proliferation [GO:0072091]	cytoplasm [GO:0005737]; microprocessor complex [GO:0070877]; nucleolus [GO:0005730]	double-stranded RNA binding [GO:0003725]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; primary miRNA binding [GO:0070878]; protein homodimerization activity [GO:0042803]; ribonuclease III activity [GO:0004525]	cytoplasm [GO:0005737]; microprocessor complex [GO:0070877]; nucleolus [GO:0005730]; double-stranded RNA binding [GO:0003725]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; primary miRNA binding [GO:0070878]; protein homodimerization activity [GO:0042803]; ribonuclease III activity [GO:0004525]; primary miRNA processing [GO:0031053]; regulation of stem cell proliferation [GO:0072091]	GO:0003725; GO:0004525; GO:0005730; GO:0005737; GO:0020037; GO:0031053; GO:0042803; GO:0046872; GO:0070877; GO:0070878; GO:0072091	CGI_10006425	scaffold1848	64060	64062	100	mRNA	54858	64498
