"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"375","NC_047559.1",7867,7869,"*",2.33980960791286e-15,4.08615261059822e-12,64.5753773413348
"2817","NC_047559.1",576880,576882,"*",1.33914604111036e-08,4.4952472775104e-06,36.8918918918919
"3089","NC_047559.1",606381,606383,"*",4.823350456729e-12,3.95503174159914e-09,32.8677433435181
"3093","NC_047559.1",607024,607026,"*",6.74665560838222e-05,0.00675150143112196,42.6966292134831
"3170","NC_047559.1",612843,612845,"*",1.49061330412156e-10,8.4130667805953e-08,-36.2951549392227
"3207","NC_047559.1",616708,616710,"*",2.03411781947518e-14,2.92674131627326e-11,-35
"4610","NC_047559.1",733435,733437,"*",1.05743863872163e-05,0.00142612432702515,46.1430423509075
"4704","NC_047559.1",742817,742819,"*",1.86287098909016e-16,4.09099699134841e-13,39.0844459857812
"4705","NC_047559.1",742820,742822,"*",8.66263989196498e-16,1.65869573168142e-12,35.5772357723577
"4716","NC_047559.1",744037,744039,"*",1.38958513795012e-21,8.494517227341e-18,-53.2666983975884
"4742","NC_047559.1",749417,749419,"*",4.23696976816056e-14,5.69888264143488e-11,-38.5140562248996
"4743","NC_047559.1",749420,749422,"*",2.19839879838797e-11,1.53191688187941e-08,-38.1297571583907
"4745","NC_047559.1",749445,749447,"*",8.53805611318412e-05,0.0081999999284935,-34.3181818181818
"4746","NC_047559.1",749465,749467,"*",1.64040305475496e-10,9.16776430481417e-08,-59.0909090909091
"5765","NC_047559.1",823832,823834,"*",1.62819381123191e-08,5.34081894169262e-06,27.4509803921569
"5778","NC_047559.1",824650,824652,"*",7.60970728655182e-19,2.81184357403989e-15,28.9362626450692
"5779","NC_047559.1",824661,824663,"*",1.23253845646992e-17,3.56142437886499e-14,28.5427780674662
"7223","NC_047559.1",984309,984311,"*",2.38903050564027e-08,7.47669520862239e-06,39.0316205533597
"7399","NC_047559.1",1002960,1002962,"*",5.17056115743633e-06,0.000778348319104782,29.6296296296296
"7504","NC_047559.1",1011883,1011885,"*",8.82111909713626e-23,6.70734716694792e-19,49.8022412656559
"8576","NC_047559.1",1104715,1104717,"*",1.56024481565599e-05,0.00198652368373818,42.1428571428571
"8648","NC_047559.1",1114186,1114188,"*",2.20462495760462e-05,0.00265537359645598,37.0967741935484
"8654","NC_047559.1",1114711,1114713,"*",5.55756138761751e-05,0.00573881380047455,29.6474953617811
"8744","NC_047559.1",1125157,1125159,"*",6.46305492355623e-13,6.54488317138826e-10,33.8274932614555
"9329","NC_047559.1",1161769,1161771,"*",3.92095976835247e-06,0.000613842661391572,-41.9945205479452
"9527","NC_047559.1",1191754,1191756,"*",1.15860373597428e-09,5.20652925505701e-07,56.0804701627486
"9529","NC_047559.1",1191919,1191921,"*",4.2582629280234e-06,0.000658963265313707,44.2789968652038
"9899","NC_047559.1",1205353,1205355,"*",4.77416075309706e-08,1.3671081896042e-05,-66.2207357859532
"9915","NC_047559.1",1207111,1207113,"*",2.6312666405871e-07,6.02068290005369e-05,-47.0198675496689
"10283","NC_047559.1",1327102,1327104,"*",1.95475546408632e-07,4.65807945757574e-05,26.2762973352034
"10397","NC_047559.1",1431403,1431405,"*",4.29002566852829e-11,2.77846228728553e-08,34.9142857142857
"10827","NC_047559.1",1455606,1455608,"*",1.67864376659486e-12,1.54228471125408e-09,31.3519813519814
"10902","NC_047559.1",1475620,1475622,"*",1.93513400296404e-05,0.0023819269480839,25.2087260974953
"10965","NC_047559.1",1482068,1482070,"*",1.30456142355324e-06,0.000239354132485041,30.9090909090909
