,chr,DMLCount,geneCount,chrCpGCounts,DMLbyChrCpG
1,NC_047559.1,139,3422,1137715,0.000122174709835064
2,NC_047560.1,67,3521,1586202,4.22392608255443e-05
3,NC_047561.1,167,3790,1152779,0.000144867316285255
4,NC_047562.1,128,3115,1080842,0.000118426189951908
5,NC_047563.1,114,3909,1539451,7.4052373216166e-05
6,NC_047564.1,223,4117,1188024,0.00018770664565699
7,NC_047565.1,297,4087,1215355,0.000244373043267194
8,NC_047566.1,113,3603,1223148,9.23845683433239e-05
9,NC_047567.1,60,1826,782930,7.66352036580537e-05
10,NC_047568.1,213,3701,1113870,0.000191225187858547
11,NW_022994785.1,1,6,2220,0.00045045045045045
12,NW_022994804.1,3,4,895,0.00335195530726257
13,NW_022994808.1,1,3,555,0.0018018018018018
14,NW_022994819.1,1,40,14910,6.70690811535882e-05
15,NW_022994837.1,2,20,14054,0.000142308239647076
16,NW_022994842.1,1,13,7891,0.000126726650614624
17,NW_022994849.1,1,17,6112,0.000163612565445026
18,NW_022994852.1,2,16,8156,0.000245218244237371
19,NW_022994855.1,3,7,5411,0.000554426168915173
20,NW_022994888.1,1,2,3247,0.000307976593778873
21,NW_022994895.1,3,34,17210,0.000174317257408483
22,NW_022994897.1,3,24,11020,0.000272232304900182
23,NW_022994899.1,1,11,2442,0.00040950040950041
24,NW_022994910.1,1,7,794,0.00125944584382872
25,NW_022994911.1,4,8,1201,0.00333055786844296
26,NW_022994915.1,1,10,1120,0.000892857142857143
27,NW_022994918.1,1,21,8437,0.000118525542254356
28,NW_022994923.1,1,4,1198,0.000834724540901503
29,NW_022994924.1,2,13,2134,0.000937207122774133
30,NW_022994927.1,1,17,2997,0.000333667000333667
31,NW_022994932.1,1,6,1890,0.000529100529100529
32,NW_022994937.1,8,33,10221,0.000782702279620389
33,NW_022994939.1,1,13,6222,0.000160720025715204
34,NW_022994940.1,2,14,3962,0.000504795557799091
35,NW_022994943.1,2,17,6125,0.000326530612244898
36,NW_022994948.1,3,40,17808,0.000168463611859838
37,NW_022994949.1,1,7,1920,0.000520833333333333
38,NW_022994954.1,3,6,2070,0.00144927536231884
39,NW_022994955.1,1,22,8671,0.000115326951908661
40,NW_022994957.1,1,12,3619,0.000276319425255595
41,NW_022994958.1,1,13,2837,0.000352485019386676
42,NW_022994962.1,2,6,3706,0.000539665407447383
43,NW_022994963.1,1,23,6529,0.00015316281206923
44,NW_022994964.1,1,28,3841,0.000260348867482426
45,NW_022994965.1,1,5,743,0.00134589502018843
46,NW_022994966.1,4,35,9455,0.000423056583818086
47,NW_022994968.1,2,8,1344,0.00148809523809524
48,NW_022994977.1,2,13,2613,0.000765403750478377
49,NW_022994978.1,2,7,2916,0.000685871056241427
50,NW_022994985.1,1,16,3404,0.000293772032902468
51,NW_022994987.1,1,15,6158,0.00016239038648912
52,NW_022994991.1,3,17,4331,0.00069268067420919
