"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"374","NC_047559.1",4843,4845,"*",5.32078091758297e-24,2.36756805836852e-20,88.6486486486486
"662","NC_047559.1",68070,68072,"*",1.97359775635155e-06,9.87823674017738e-05,-78.328173374613
"1272","NC_047559.1",342209,342211,"*",3.56521491115483e-05,0.0011108103664686,-75.4545454545455
"1558","NC_047559.1",433154,433156,"*",5.21556432529276e-08,4.55302431479285e-06,-76.9230769230769
"2684","NC_047559.1",564054,564056,"*",0.000140726146918097,0.00345266901757157,-80
"2696","NC_047559.1",565569,565571,"*",4.41508854844509e-22,1.24001552615673e-18,-97.3684210526316
"2697","NC_047559.1",565681,565683,"*",1.05846317912227e-21,2.75505146109776e-18,-89.7959183673469
"2714","NC_047559.1",567364,567366,"*",2.39831970532819e-22,7.17436204433916e-19,-97.3684210526316
"2879","NC_047559.1",584842,584844,"*",0.000368689733408963,0.00762647406414986,79.4871794871795
"4636","NC_047559.1",736091,736093,"*",6.49198555862631e-13,2.34304679669091e-10,76.4622973925299
"4660","NC_047559.1",738014,738016,"*",3.99158129484938e-28,4.94835029787266e-24,-100
"4709","NC_047559.1",743323,743325,"*",4.26310746531676e-09,5.31933141298086e-07,-82.6086956521739
"5119","NC_047559.1",765740,765742,"*",1.22370562537476e-05,0.000455124095286344,-92.8571428571429
"7425","NC_047559.1",1004720,1004722,"*",9.88558213783116e-17,8.38448284252006e-14,90.9090909090909
"7454","NC_047559.1",1006145,1006147,"*",2.89039979720955e-08,2.7493384462728e-06,100
"7501","NC_047559.1",1011405,1011407,"*",7.39602301050679e-07,4.31835306333014e-05,100
"7507","NC_047559.1",1012524,1012526,"*",8.20222696549638e-12,2.22783950599516e-09,-96.1538461538462
"7510","NC_047559.1",1013080,1013082,"*",8.38874096742314e-08,6.81944483806688e-06,-90.9090909090909
"8764","NC_047559.1",1127208,1127210,"*",0.000163144234334446,0.00389617184917482,-78.2608695652174
"9268","NC_047559.1",1155036,1155038,"*",1.19636850107103e-17,1.2236141087581e-14,-97.2222222222222
"9277","NC_047559.1",1155389,1155391,"*",1.48189443606433e-07,1.10792828651836e-05,-76.1904761904762
"9306","NC_047559.1",1158513,1158515,"*",1.8785741545362e-13,7.72097737500967e-11,-91.304347826087
"9308","NC_047559.1",1158612,1158614,"*",2.42986276285417e-05,0.00080680051899888,-78.3653846153846
"9438","NC_047559.1",1173707,1173709,"*",8.700246663273e-12,2.34684595361794e-09,77.7777777777778
"9532","NC_047559.1",1192682,1192684,"*",4.70034925663128e-08,4.16879621839055e-06,-84
"10785","NC_047559.1",1454226,1454228,"*",5.69049312469401e-16,4.11479770861572e-13,-79.7368421052632
"10790","NC_047559.1",1454339,1454341,"*",1.63123591652514e-23,6.4989706348045e-20,-94.1577825159915
"10792","NC_047559.1",1454357,1454359,"*",5.44657251247314e-27,5.09368808524335e-23,-94.7368421052632
"10803","NC_047559.1",1454613,1454615,"*",6.94954616895476e-20,1.17680805857283e-16,-77.1084337349398
"10806","NC_047559.1",1454663,1454665,"*",1.03725204909822e-17,1.07741140046971e-14,-78.8333333333333
"10809","NC_047559.1",1454801,1454803,"*",6.86064841438309e-21,1.46993692856754e-17,-80.0966183574879
"12080","NC_047559.1",1715466,1715468,"*",3.13609862223152e-13,1.22133169596903e-10,100
"14067","NC_047559.1",1793370,1793372,"*",5.37182772186435e-10,8.84196267911689e-08,90
"14176","NC_047559.1",1802228,1802230,"*",2.01037352740139e-05,0.000689593068465653,-92.3076923076923
"14250","NC_047559.1",1808725,1808727,"*",4.19631200218855e-11,9.43930434436265e-09,78.6713286713287
"15670","NC_047559.1",2101432,2101434,"*",2.362501125624e-08,2.31477690050818e-06,79.4545454545455
"15671","NC_047559.1",2101442,2101444,"*",3.34206047114511e-08,3.11187917035086e-06,79.1666666666667
"15673","NC_047559.1",2101516,2101518,"*",2.60507507075666e-23,9.71109311477396e-20,83.3333333333333
"15674","NC_047559.1",2101540,2101542,"*",7.6187421207262e-22,2.0329663184313e-18,79.6296296296296
"15678","NC_047559.1",2101615,2101617,"*",7.82299562929324e-14,3.51263571369697e-11,76.4705882352941
"15895","NC_047559.1",2128603,2128605,"*",1.90027956031103e-06,9.57250153489143e-05,78.9473684210526
"15941","NC_047559.1",2133473,2133475,"*",9.50193530539191e-19,1.2408605619989e-15,88.6720867208672
"15942","NC_047559.1",2133510,2133512,"*",3.15937202195678e-15,1.93804967460363e-12,80.9523809523809
"15943","NC_047559.1",2133579,2133581,"*",1.82964622763796e-14,9.46002691868061e-12,87.5
"15944","NC_047559.1",2133589,2133591,"*",3.7903187335132e-12,1.12038575791947e-09,80
"15945","NC_047559.1",2133616,2133618,"*",1.70172241070145e-11,4.27289909518613e-09,78.5714285714286
"15946","NC_047559.1",2133633,2133635,"*",3.44478220789765e-13,1.32681261541388e-10,85.7142857142857
"15947","NC_047559.1",2133663,2133665,"*",2.42530401192536e-10,4.42092678743074e-08,76.6666666666667
"16739","NC_047559.1",2173411,2173413,"*",3.29505576881889e-06,0.000151985294397216,-89.4736842105263
"16764","NC_047559.1",2175734,2175736,"*",1.0922601407707e-06,5.99751418309688e-05,-81.5789473684211
"16904","NC_047559.1",2188170,2188172,"*",6.13873294720962e-09,7.29079114435553e-07,-80.2185792349727
"16948","NC_047559.1",2193954,2193956,"*",9.98501748126939e-08,7.9093991238555e-06,-100
"21957","NC_047559.1",3071623,3071625,"*",7.84347280454066e-06,0.000314175987649463,-86.9565217391304
"21961","NC_047559.1",3073098,3073100,"*",1.26167123154182e-19,2.02090917557645e-16,-79.009900990099
"22521","NC_047559.1",3147790,3147792,"*",9.96214271771517e-10,1.51245027153801e-07,76.4285714285714
"22864","NC_047559.1",3185403,3185405,"*",1.37080372827878e-09,1.98795851127232e-07,-76.1904761904762
"23009","NC_047559.1",3200944,3200946,"*",2.39426117735005e-12,7.42643918556815e-10,90.3225806451613
"23022","NC_047559.1",3202284,3202286,"*",0.000103199174406605,0.00267431879499348,92.3076923076923
"23262","NC_047559.1",3216341,3216343,"*",8.79047773257717e-09,9.92699011354286e-07,-88.2352941176471
"23263","NC_047559.1",3216355,3216357,"*",1.45233979929535e-08,1.52641598976029e-06,-88.2352941176471
