"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"375","NC_047559.1",7867,7869,"*",1.62548959439652e-16,4.40724882587981e-13,65.1062155782848
"4686","NC_047559.1",741585,741587,"*",4.16159580479533e-06,0.000712875666228856,58.141592920354
"9527","NC_047559.1",1191754,1191756,"*",9.10615096150674e-12,8.55819210647154e-09,53.4323271665044
"20530","NC_047559.1",2792607,2792609,"*",2.77002835981994e-06,0.000508253755861752,51.8593644354293
"21934","NC_047559.1",3065822,3065824,"*",4.43002899193152e-05,0.00509735167303334,60.0770492972819
"27751","NC_047559.1",3611505,3611507,"*",4.05341454457055e-09,1.85108015554992e-06,53.448275862069
"32064","NC_047559.1",3913926,3913928,"*",1.08462926383698e-45,2.58061516171489e-40,-74.8831918092065
"58355","NC_047559.1",6327898,6327900,"*",1.03394422276363e-06,0.000220234759568014,65
"65969","NC_047559.1",6936424,6936426,"*",1.30058690916754e-10,9.0216751507499e-08,50.7046304285304
"70420","NC_047559.1",7271820,7271822,"*",9.71806298696775e-11,6.97681518883054e-08,-50.4714016341923
"70723","NC_047559.1",7287685,7287687,"*",1.12997165894844e-05,0.00164575873896915,50.5203619909502
"87344","NC_047559.1",8701415,8701417,"*",1.53059070964137e-10,1.04210218351994e-07,53.5714285714286
"97484","NC_047559.1",9400941,9400943,"*",9.26540147271125e-15,1.74895638867783e-11,-50.7792207792208
"97486","NC_047559.1",9400974,9400976,"*",6.22175196270589e-17,1.84202296517083e-13,-77.0087976539589
"107597","NC_047559.1",10185079,10185081,"*",3.8781632720933e-09,1.77949912255969e-06,-61.6666666666667
"114716","NC_047559.1",10868218,10868220,"*",5.88860752493677e-14,9.32340109285636e-11,55.2532833020638
"125761","NC_047559.1",11690479,11690481,"*",6.32021611169027e-39,6.36199308394544e-34,-65.2272727272727
"134057","NC_047559.1",12290987,12290989,"*",7.22036338353995e-07,0.000162129766920123,54.7191661841343
"134851","NC_047559.1",12382145,12382147,"*",4.47569070132635e-17,1.36762588170082e-13,-62.5
"136443","NC_047559.1",12516267,12516269,"*",2.14489545803711e-18,8.47974421081098e-15,55.6078431372549
"138780","NC_047559.1",12720430,12720432,"*",1.23743905046631e-05,0.00177530948813216,58.499115826702
"142913","NC_047559.1",13012936,13012938,"*",8.26522623158596e-11,6.05928166637519e-08,-56.4298724954463
"143058","NC_047559.1",13029203,13029205,"*",5.30199582378693e-07,0.000124826249195797,-53.2212885154062
"147236","NC_047559.1",13419019,13419021,"*",1.72279624720471e-07,4.78522521906548e-05,-56.3791874554526
"147954","NC_047559.1",13502465,13502467,"*",2.34655973649299e-26,3.96218298216121e-22,-67.0745272525028
"149192","NC_047559.1",13628415,13628417,"*",1.65902251760671e-19,8.30999184952016e-16,-61.0915805546678
"150411","NC_047559.1",13809567,13809569,"*",8.05826672158749e-11,5.92082649847208e-08,-55.7377049180328
"153922","NC_047559.1",14248965,14248967,"*",2.43734786813598e-16,6.3789930622908e-13,55.7142857142857
"153924","NC_047559.1",14249126,14249128,"*",3.49955358731005e-25,4.89785195178824e-21,-52.8169014084507
"153961","NC_047559.1",14253544,14253546,"*",3.14724842796368e-09,1.48079729784341e-06,50.8838383838384
"159847","NC_047559.1",14746010,14746012,"*",2.51051798358458e-21,1.79767246905843e-17,69.7044334975369
"181341","NC_047559.1",16910466,16910468,"*",8.92618294575511e-09,3.69643707299961e-06,56.9471332836932
"187113","NC_047559.1",17347041,17347043,"*",1.10057605375365e-07,3.25783226314123e-05,51.73018753781
"187421","NC_047559.1",17398581,17398583,"*",1.68520676872657e-11,1.47804953100821e-08,-51.2842465753425
"187816","NC_047559.1",17446551,17446553,"*",7.88069047209081e-08,2.45188229770929e-05,-52.3654916512059
"193015","NC_047559.1",17857681,17857683,"*",1.67285899500885e-12,1.88552255739757e-09,-63.1578947368421
"198333","NC_047559.1",18307661,18307663,"*",7.57733644184796e-06,0.00118050478745383,56.6433566433566
"206064","NC_047559.1",19116966,19116968,"*",5.07098594797803e-08,1.67550992884156e-05,-62.8409090909091
"211666","NC_047559.1",19816819,19816821,"*",2.60512042210769e-10,1.66823710923788e-07,-54.2763157894737
"213287","NC_047559.1",19992123,19992125,"*",2.62173813239652e-22,2.29101058648587e-18,-53.7414965986395
"214841","NC_047559.1",20135187,20135189,"*",3.21328509650541e-10,2.00614628410939e-07,52.9661016949153
"216257","NC_047559.1",20233270,20233272,"*",2.62372351215439e-12,2.82072822364901e-09,52.0993343573989
"216286","NC_047559.1",20235558,20235560,"*",3.3686583093467e-09,1.57239269527051e-06,56.8627450980392
"217559","NC_047559.1",20339062,20339064,"*",2.19634443986767e-05,0.00286359739447215,-54.0824915824916
"217637","NC_047559.1",20350509,20350511,"*",7.19683325750151e-15,1.39367016378848e-11,-52.1739130434783
"218725","NC_047559.1",20449763,20449765,"*",1.21947093097091e-10,8.52224945365677e-08,-54.5018007202881
"219890","NC_047559.1",20557303,20557305,"*",9.07473383441755e-06,0.00137114381713244,52.6315789473684
"219926","NC_047559.1",20561999,20562001,"*",5.99572878927607e-08,1.94075051573448e-05,51.1904761904762
"220133","NC_047559.1",20579637,20579639,"*",3.61941386683627e-06,0.000633899676269017,-51.4853828855486
"224722","NC_047559.1",21011894,21011896,"*",3.16252867765731e-10,1.97941557503037e-07,54.0556900726392
"225312","NC_047559.1",21068177,21068179,"*",6.14508097459859e-07,0.000141393650398586,55.8333333333333
"225807","NC_047559.1",21100425,21100427,"*",3.05639966137871e-08,1.07943685802351e-05,-64.0404929577465
"226167","NC_047559.1",21132630,21132632,"*",1.89032372798677e-05,0.00252985422490993,55.9368150555514
"229992","NC_047559.1",21488836,21488838,"*",1.32125873377309e-10,9.1444666065142e-08,56.1224489795918
"237702","NC_047559.1",22093659,22093661,"*",1.05705647198494e-08,4.28983338373565e-06,-64.4886363636364
"237765","NC_047559.1",22103921,22103923,"*",1.12747469671009e-08,4.53099600925107e-06,59.5784543325527
"237768","NC_047559.1",22103992,22103994,"*",5.04461175103864e-05,0.00567137952431679,-50.4864864864865
"238278","NC_047559.1",22163881,22163883,"*",7.72310403838278e-19,3.36599514703664e-15,-58.7719298245614
"238930","NC_047559.1",22231612,22231614,"*",1.91837966281346e-08,7.20958740305304e-06,50.1346801346801
"240223","NC_047559.1",22336703,22336705,"*",1.09758707664322e-18,4.64820337538172e-15,56.6681338028169
"246244","NC_047559.1",22845249,22845251,"*",2.31035591158655e-06,0.000436233422807774,-65.5107778819119
"246307","NC_047559.1",22851857,22851859,"*",1.88724872203051e-12,2.10137468653469e-09,-54.1577825159915
"246364","NC_047559.1",22857196,22857198,"*",1.03213154780704e-05,0.00152713931822196,-56.875
"246400","NC_047559.1",22863832,22863834,"*",4.28914240790868e-06,0.000731397189766112,-50.5079825834543
"246404","NC_047559.1",22866650,22866652,"*",3.19754928209763e-06,0.000571839261170157,-63.9322702613842
"249883","NC_047559.1",23121878,23121880,"*",6.35848545501288e-10,3.65502745733431e-07,53.4183673469388
"255000","NC_047559.1",23952191,23952193,"*",2.09037585861911e-11,1.7908028568002e-08,51.6883116883117
"257125","NC_047559.1",24116442,24116444,"*",8.37282694904732e-07,0.000183920882732015,58.3679833679834
"257645","NC_047559.1",24171515,24171517,"*",2.49501618397926e-11,2.09191791744819e-08,60.8205128205128
"258407","NC_047559.1",24225088,24225090,"*",9.30048462597975e-27,1.67292779873192e-22,60.5263157894737
"258616","NC_047559.1",24248879,24248881,"*",9.29138015348497e-05,0.0093536960755116,58.520062532569
"258910","NC_047559.1",24279800,24279802,"*",1.80181861520962e-07,4.97278784041828e-05,-50.2240449608871
"260303","NC_047559.1",24398252,24398254,"*",2.96182480176723e-05,0.00366672823465949,57.2515212981744
"264017","NC_047559.1",24702767,24702769,"*",5.10316694315342e-09,2.26563830380728e-06,65.7142857142857
"264115","NC_047559.1",24714743,24714745,"*",8.0772033263591e-06,0.00124478401926284,56.6956776128136
"266744","NC_047559.1",24987135,24987137,"*",1.06280667684318e-13,1.59401885709823e-10,-68.9542483660131
"266763","NC_047559.1",24988393,24988395,"*",1.0767234593271e-22,9.99285714853324e-19,52.7131782945737
"267358","NC_047559.1",25027324,25027326,"*",9.10690646673079e-11,6.59321421739493e-08,-53.2732447817837
"275749","NC_047559.1",25722731,25722733,"*",4.74527533658695e-21,3.26393399424697e-17,-61.5384615384615
"279782","NC_047559.1",26048767,26048769,"*",3.9108603605428e-07,9.59228671254256e-05,52.7310924369748
"280739","NC_047559.1",26152993,26152995,"*",3.37903205406646e-06,0.000598832330938307,54.0793731902572
"281212","NC_047559.1",26204473,26204475,"*",1.95901496417405e-09,9.77461547631039e-07,58.695652173913
"281219","NC_047559.1",26205088,26205090,"*",1.16785386223324e-20,7.50059127223025e-17,62.5
"287244","NC_047559.1",26704410,26704412,"*",7.6625609295623e-12,7.3298056551871e-09,-60
"288996","NC_047559.1",26861640,26861642,"*",1.89307385218928e-05,0.00253303609044606,59.9754952011436
"291911","NC_047559.1",27249136,27249138,"*",1.09476642893428e-09,5.86531735085417e-07,53.8240368027602
"298281","NC_047559.1",28117649,28117651,"*",7.34993725727503e-06,0.00115131397713692,65.1785714285714
"301392","NC_047559.1",28456701,28456703,"*",8.05590070582375e-17,2.33615420320115e-13,53.1279178338002
"304334","NC_047559.1",28819038,28819040,"*",3.3974266391328e-08,1.1820922515833e-05,62.280701754386
"314940","NC_047559.1",29933525,29933527,"*",4.80162801127862e-20,2.69672838784214e-16,52.6955602536998
"335070","NC_047559.1",31830062,31830064,"*",5.82245607666192e-27,1.08458728489909e-22,-55.6846232031363
"342763","NC_047559.1",32365374,32365376,"*",3.18189165250285e-12,3.34441876964329e-09,-57.4468085106383
"360787","NC_047559.1",34065214,34065216,"*",1.25247314462371e-24,1.60684086107969e-20,-56.7901234567901
"374742","NC_047559.1",35605248,35605250,"*",1.31924071571452e-10,9.13291500689673e-08,55.3846153846154
"385282","NC_047559.1",36478032,36478034,"*",3.07118088882855e-14,5.20417744254973e-11,-71.4830214830215
"389651","NC_047559.1",36792292,36792294,"*",1.17347425637134e-05,0.00169900177638444,-50.7981220657277
"391737","NC_047559.1",36959706,36959708,"*",9.08401225909152e-25,1.19470105492113e-20,-59.4899665551839
"399302","NC_047559.1",37697041,37697043,"*",4.37211986051456e-24,5.16598262191433e-20,-52.68826775859
"404310","NC_047559.1",38149439,38149441,"*",3.61619429962345e-13,4.76132866791726e-10,-52.6315789473684
"420326","NC_047559.1",39699232,39699234,"*",5.65620144492344e-07,0.000131853575900695,-63.9125683060109
"431368","NC_047559.1",40631354,40631356,"*",1.5339140318478e-08,5.93954511950401e-06,-64.4804716285925
"439368","NC_047559.1",41293709,41293711,"*",1.51550335192077e-20,9.47754927100052e-17,53.8415723645027
"441381","NC_047559.1",41431590,41431592,"*",8.52826592825398e-54,7.44001979924025e-48,-68.1992337164751
"441389","NC_047559.1",41431870,41431872,"*",6.3988435706695e-51,2.57645610988203e-45,-91.9354838709677
"442865","NC_047559.1",41518543,41518545,"*",8.68412317571932e-09,3.61047924159269e-06,-56.0144927536232
"471010","NC_047559.1",44242889,44242891,"*",1.16277360448872e-44,2.34091920251542e-39,70.4347826086957
"475671","NC_047559.1",44793508,44793510,"*",5.79067131379787e-06,0.000943665299623674,53.6281779661017
"503721","NC_047559.1",47385267,47385269,"*",6.32429241634106e-13,7.87058985558649e-10,-66.2840746054519
"509527","NC_047559.1",47929211,47929213,"*",1.16558559867264e-16,3.26961894477809e-13,-51.4336917562724
"515313","NC_047559.1",48383200,48383202,"*",4.84538804975035e-06,0.000812147840377875,68.1120144534779
"518199","NC_047559.1",48772759,48772761,"*",1.54093924037352e-06,0.000309665207099998,54.6576576576577
"519825","NC_047559.1",49256610,49256612,"*",9.69700037361631e-21,6.30044178212085e-17,-50.0052640814178
"521685","NC_047559.1",49453460,49453462,"*",1.55650016891274e-05,0.00215201176533305,52.5170068027211
"521690","NC_047559.1",49455653,49455655,"*",2.59358772683621e-12,2.79165200708103e-09,59.965034965035
"521785","NC_047559.1",49468173,49468175,"*",3.0277320306541e-07,7.73892150073737e-05,53.12234293812
"522188","NC_047559.1",49505508,49505510,"*",3.71410629783228e-07,9.1811169118542e-05,-53.3952125061065
"523021","NC_047559.1",49584601,49584603,"*",5.57505721725089e-06,0.000914306638254217,-63.8002651347768
"524506","NC_047559.1",49718017,49718019,"*",4.15632483761415e-06,0.000712182516971268,50.5244755244755
"541776","NC_047559.1",51058657,51058659,"*",1.04477819389606e-06,0.000222198846897161,51.7229254571027
"541777","NC_047559.1",51058698,51058700,"*",2.10712385804377e-07,5.68324353018525e-05,51.9772714228319
"541895","NC_047559.1",51072178,51072180,"*",6.33082137663116e-49,2.07111724633594e-43,74.3784111582777
"542024","NC_047559.1",51085284,51085286,"*",2.23064958239922e-27,4.43956286951063e-23,-57.5032938076416
"544290","NC_047559.1",51410313,51410315,"*",1.56064149711477e-12,1.76702976334181e-09,51.9424871453057
"544444","NC_047559.1",51427755,51427757,"*",5.79110221625556e-07,0.000134442652804336,52.0345385860766
"548996","NC_047559.1",51841573,51841575,"*",1.10451685205128e-07,3.26783427328394e-05,61.2740306288693
"549204","NC_047559.1",51865448,51865450,"*",8.04277419368026e-06,0.00124057387111969,64.7647880763856
"549380","NC_047559.1",51887676,51887678,"*",3.46860563595088e-06,0.000611793513680857,-53.8771851187808
"555367","NC_047559.1",52303932,52303934,"*",1.11195620653716e-05,0.00162385758647909,83.3193441889094
"563670","NC_047559.1",52924095,52924097,"*",1.03536152457921e-21,8.04075321508048e-18,51.883830455259
"564944","NC_047559.1",53023654,53023656,"*",1.55045105966528e-14,2.78600688382893e-11,61.0511898647492
"573154","NC_047559.1",53656654,53656656,"*",4.27462286653869e-06,0.000729396513631312,70.3304597701149
"573252","NC_047559.1",53667131,53667133,"*",5.08664128801956e-21,3.46233734339396e-17,60.3074772886094
"576381","NC_047559.1",53913487,53913489,"*",7.21819914611698e-10,4.08373773696169e-07,-54.5454545454545
"576419","NC_047559.1",53916500,53916502,"*",2.90480421657995e-08,1.03181505688849e-05,66.9291338582677
"582856","NC_047559.1",54339651,54339653,"*",1.49443001658787e-17,4.98559786963298e-14,71.640826873385
"584118","NC_047559.1",54448910,54448912,"*",4.16779025118105e-05,0.00485064275073353,57.0979570455736
"584364","NC_047559.1",54474969,54474971,"*",5.54751237982536e-05,0.00612986246899593,-69.9342311305982
"585473","NC_047559.1",54629399,54629401,"*",3.967567825532e-05,0.00466030721814195,-50.1382488479263
"586541","NC_047559.1",54715157,54715159,"*",1.01215487328646e-05,0.00150144403294798,-54.2358803986711
"599307","NC_047560.1",1302128,1302130,"*",2.55471627730114e-19,1.22457290040251e-15,66.1481481481482
"599314","NC_047560.1",1302706,1302708,"*",5.875285233957e-15,1.16270057400132e-11,54.9908703590992
"617438","NC_047560.1",5612964,5612966,"*",1.25885576048233e-16,3.51055924387185e-13,51.783723522854
"617443","NC_047560.1",5613501,5613503,"*",6.61515641462071e-07,0.000150444001491416,50.5602240896359
"617458","NC_047560.1",5614019,5614021,"*",1.43175994833399e-09,7.43488550518162e-07,50.4831252889505
"617492","NC_047560.1",5615984,5615986,"*",8.79963639582976e-12,8.30069793643869e-09,52.7272727272727
"617495","NC_047560.1",5616168,5616170,"*",4.22229443741367e-34,2.166770683641e-29,61.0778443113772
"617497","NC_047560.1",5616946,5616948,"*",1.96009566767488e-14,3.45799475381504e-11,50.1010101010101
"617530","NC_047560.1",5620390,5620392,"*",1.81433427077976e-13,2.56673000506894e-10,50.6463158517467
"617543","NC_047560.1",5620609,5620611,"*",8.93026333516794e-11,6.48326253536211e-08,52.4831660366968
"627558","NC_047560.1",7227970,7227972,"*",4.44524743986888e-15,8.95615088127909e-12,-53.6842105263158
"627578","NC_047560.1",7229644,7229646,"*",1.3095992366211e-14,2.39431713090553e-11,-53.0120481927711
"628598","NC_047560.1",7329115,7329117,"*",1.09261130617064e-06,0.000230908201587711,-53.3604680109534
"635246","NC_047560.1",8536413,8536415,"*",1.28551191355555e-06,0.000265395911081514,53.8362346872985
"643452","NC_047560.1",10062465,10062467,"*",3.16263609698632e-08,1.11088543327993e-05,-59.843137254902
