"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"11743","C22384",1331,1330,"+",3.0592640634369e-07,0.000538753454185578,-100
"106576","C29914",4054,4053,"+",6.98951223688852e-08,0.000180788303579829,-100
"106577","C29914",4055,4054,"+",6.3334844785763e-18,7.02165199579817e-13,-100
"108578","C29976",652,651,"+",7.98927711183157e-10,5.75926702881888e-06,-100
"115958","C30322",3485,3484,"+",1.18535587643139e-07,0.000268399744051946,-100
"115960","C30322",3602,3601,"+",2.67078608712745e-08,8.75315636088822e-05,-100
"177773","C32984",5073,5072,"+",4.98546736263789e-08,0.000139577553633372,-100
"263307","scaffold100",645220,645219,"+",1.92296598273176e-07,0.000383769671062854,-100
"293696","scaffold1004",438046,438045,"+",6.87650670708678e-09,3.04939791907661e-05,-100
"327676","scaffold1009",1445243,1445242,"+",1.44782753478406e-07,0.000312970287786169,-100
"409259","scaffold102",107846,107845,"+",1.82363934074417e-09,1.08846242046756e-05,-100
"409284","scaffold102",108202,108201,"+",1.03544322147095e-07,0.000242819423249498,-100
"409288","scaffold102",108299,108298,"+",1.18535587643139e-07,0.000268399744051946,-100
"409295","scaffold102",108463,108462,"+",8.57042624783542e-10,6.08273377039209e-06,-100
"409296","scaffold102",108469,108468,"+",8.5704262478354e-10,6.08273377039209e-06,-100
"409312","scaffold102",108947,108946,"+",7.08614143832018e-09,3.12519324476685e-05,-100
"409326","scaffold102",109073,109072,"+",1.88262403903809e-07,0.000379963966529775,-100
"409371","scaffold102",110137,110136,"+",6.40705288381449e-07,0.00093322201557196,-100
"409419","scaffold102",110678,110677,"+",5.09877343906151e-07,0.000783944827143809,-100
"482364","scaffold1024",810817,810816,"+",6.4009217327295e-07,0.000933033475374896,-100
"571320","scaffold1037",361691,361690,"+",8.57042624783542e-10,6.08273377039209e-06,-100
"571322","scaffold1037",361709,361708,"+",2.24346031318706e-07,0.000427027848336781,-100
"571423","scaffold1037",367556,367555,"+",4.98546736263789e-08,0.000139577553633372,-100
"679084","scaffold107",1026791,1026790,"+",1.92296598273177e-07,0.000383769671062854,-100
"707708","scaffold1083",126873,126872,"+",5.75246234150529e-08,0.000154214747885945,-100
"730175","scaffold1086",399470,399469,"+",1.88262403903809e-07,0.000379963966529775,-100
"731448","scaffold1086",483748,483747,"+",1.92296598273176e-07,0.000383769671062854,-100
"769049","scaffold1093",582197,582196,"+",2.12118049633927e-09,1.23323852351164e-05,-100
"769051","scaffold1093",582199,582198,"+",2.12118049633927e-09,1.23323852351164e-05,-100
"782304","scaffold1094",672950,672949,"+",1.03544322147095e-07,0.000242819423249498,-100
"808091","scaffold1098",65321,65320,"+",4.89482250149905e-07,0.000770180141879131,-100
"808092","scaffold1098",65327,65326,"+",3.0592640634369e-07,0.000538753454185578,-100
"855484","scaffold1104",360966,360965,"+",3.21739452174234e-07,0.000559249283795631,-100
"862062","scaffold1107",10170,10169,"+",2.24346031318706e-07,0.000427027848336781,-100
"866637","scaffold1108",114176,114175,"+",5.09877343906151e-07,0.000783944827143809,-100
"900561","scaffold1123",230204,230203,"+",1.88262403903809e-07,0.000379963966529775,-100
"921823","scaffold1128",4986,4985,"+",4.98546736263789e-08,0.000139577553633372,-100
"944079","scaffold1132",108654,108653,"+",1.03544322147095e-07,0.000242819423249498,-100
"1027346","scaffold1154",154049,154048,"+",1.47353715151859e-08,5.52164384858539e-05,-100
"1084774","scaffold1163",90277,90276,"+",1.18535587643139e-07,0.000268399744051946,-100
"1097488","scaffold1164",340306,340305,"+",5.38802532492594e-10,4.18431022712314e-06,-100
"1097492","scaffold1164",340328,340327,"+",6.87650670708678e-09,3.04939791907661e-05,-100
"1097494","scaffold1164",340337,340336,"+",1.76765041361606e-09,1.06095349020214e-05,-100
"1097496","scaffold1164",340360,340359,"+",8.57042624783542e-10,6.08273377039209e-06,-100
"1097498","scaffold1164",340368,340367,"+",5.65846675050137e-11,6.91070975790626e-07,-100
"1131416","scaffold1174",467121,467120,"+",9.98501748126939e-08,0.000236988835033379,-100
"1186823","scaffold1179",1334136,1334135,"+",5.09877343906151e-07,0.000783944827143809,-100
"1191644","scaffold1180",50202,50201,"+",3.32833916042312e-08,0.000102827794156552,-100
"1214921","scaffold1188",544059,544058,"+",4.98546736263789e-08,0.000139577553633372,-100
"1231097","scaffold1189",55493,55492,"+",4.98546736263789e-08,0.000139577553633372,-100
"1237738","scaffold1189",326893,326892,"+",1.07760506498519e-09,7.25825880179737e-06,-100
"1251303","scaffold1191",103587,103586,"+",2.67078608712745e-08,8.75315636088822e-05,-100
"1308086","scaffold121",369490,369489,"+",2.24346031318706e-07,0.000427027848336781,-100
"1330014","scaffold1210",179369,179368,"+",3.20046086636475e-07,0.000557008526394413,-100
"1362959","scaffold1213",1067716,1067715,"+",3.77098754904759e-09,1.90530722123816e-05,-100
"1384640","scaffold1219",184143,184142,"+",1.28934500757877e-08,4.99908747415555e-05,-100
"1408986","scaffold122",225213,225212,"+",4.65675522883759e-08,0.000133638238281219,-100
"1429275","scaffold1222",46054,46053,"+",6.4009217327295e-07,0.000933033475374896,-100
"1433484","scaffold1222",268018,268017,"+",2.1336405775765e-07,0.000411756869851653,-100
"1433517","scaffold1222",271377,271376,"+",5.75246234150529e-08,0.000154214747885945,-100
"1577224","scaffold1258",772676,772675,"+",1.92296598273176e-07,0.000383769671062854,-100
"1588039","scaffold126",579859,579858,"+",3.71569111196151e-12,6.86570191609569e-08,-100
"1588051","scaffold126",580184,580183,"+",4.00617913069118e-07,0.000660176468505552,-100
"1639229","scaffold1277",75343,75342,"+",2.83767215183625e-11,3.85495855108279e-07,-100
"1663383","scaffold1282",67301,67300,"+",1.03544322147095e-07,0.000242819423249498,-100
"1676907","scaffold1288",66854,66853,"+",1.16960137898436e-09,7.70570960555403e-06,-100
"1676909","scaffold1288",66883,66882,"+",1.16960137898436e-09,7.70570960555403e-06,-100
"1702409","scaffold13",101815,101814,"+",1.03544322147095e-07,0.000242819423249498,-100
"1702410","scaffold13",101816,101815,"+",1.83058653823272e-08,6.50570884650058e-05,-100
"1727455","scaffold1301",958703,958702,"+",1.22128574031655e-09,7.96461808748957e-06,-100
"1753467","scaffold1307",625162,625161,"+",5.09877343906151e-07,0.000783944827143809,-100
"1819088","scaffold1322",455786,455785,"+",6.87650670708678e-09,3.04939791907661e-05,-100
"1945975","scaffold1357",18901,18900,"+",1.85886873709944e-07,0.000377585735654957,-100
"1972773","scaffold1360",354116,354115,"+",1.9269331981397e-08,6.76298687668157e-05,-100
"1973611","scaffold1360",397606,397605,"+",3.30465553262125e-08,0.000102348881851061,-100
"2015118","scaffold1371",45058,45057,"+",3.56521491115484e-08,0.000108273222787618,-100
"2064608","scaffold1389",19365,19364,"+",5.09877343906151e-07,0.000783944827143809,-100
"2107632","scaffold140",608427,608426,"+",2.24346031318706e-07,0.000427027848336781,-100
"2145124","scaffold1409",351504,351503,"+",1.26736751105663e-13,3.89303909566199e-09,-100
"2199277","scaffold1423",581897,581896,"+",5.75246234150529e-08,0.000154214747885945,-100
"2237204","scaffold144",438259,438258,"+",2.46309729139471e-10,2.26260170975213e-06,-100
"2251701","scaffold1445",137641,137640,"+",4.98546736263789e-08,0.000139577553633372,-100
"2251711","scaffold1445",137925,137924,"+",1.9269331981397e-08,6.76298687668157e-05,-100
"2276701","scaffold145",388003,388002,"+",1.29430402683869e-07,0.000287119447971822,-100
"2306879","scaffold1459",117869,117868,"+",1.76765041361606e-09,1.06095349020214e-05,-100
"2324613","scaffold146",690364,690363,"+",1.47353715151859e-08,5.52164384858539e-05,-100
"2324643","scaffold146",693121,693120,"+",2.37432885843317e-12,4.72188032627085e-08,-100
"2336015","scaffold1462",240566,240565,"+",7.6201449199161e-08,0.00019250550358439,-100
"2425796","scaffold1492",5118,5117,"+",4.5043523304393e-07,0.000721571829612151,-100
"2425797","scaffold1492",5119,5118,"+",4.00617913069118e-07,0.000660176468505552,-100
"2459394","scaffold150",802205,802204,"+",6.16082210010104e-07,0.000905148385810115,-100
"2483179","scaffold150",1706377,1706376,"+",2.89039979720955e-08,9.28055252713305e-05,-100
"2500484","scaffold1508",64121,64120,"+",3.32734195504199e-09,1.74080482120741e-05,-100
"2515723","scaffold1512",497783,497782,"+",8.35004385860535e-09,3.56839597587357e-05,-100
"2517092","scaffold1512",594695,594694,"+",5.75246234150529e-08,0.000154214747885945,-100
"2606093","scaffold1532",1264979,1264978,"+",3.92677465048562e-12,7.21427210288488e-08,-100
"2674557","scaffold1559",79828,79827,"+",2.89039979720955e-08,9.28055252713305e-05,-100
"2674559","scaffold1559",79843,79842,"+",3.0592640634369e-07,0.000538753454185578,-100
"2683291","scaffold156",346168,346167,"+",1.29430402683869e-07,0.000287119447971822,-100
"2690820","scaffold156",672971,672970,"+",3.20046086636474e-07,0.000557008526394413,-100
"2696364","scaffold156",947863,947862,"+",6.4009217327295e-07,0.000933033475374896,-100
"2696693","scaffold156",962512,962511,"+",6.87650670708678e-09,3.04939791907661e-05,-100
"2696697","scaffold156",962564,962563,"+",1.88262403903809e-07,0.000379963966529775,-100
"2701538","scaffold1560",10914,10913,"+",3.20046086636474e-07,0.000557008526394413,-100
"2705313","scaffold1560",188438,188437,"+",6.40705288381449e-07,0.00093322201557196,-100
"2864420","scaffold1597",147867,147866,"+",6.4009217327295e-07,0.000933033475374896,-100
"2872650","scaffold1599",123485,123484,"+",1.16312927649195e-10,1.2301242848159e-06,-100
"3013896","scaffold1625",44723,44722,"+",5.75246234150529e-08,0.000154214747885945,-100
"3041047","scaffold1630",207904,207903,"+",1.22128574031655e-09,7.96461808748957e-06,-100
"3045287","scaffold1631",15204,15203,"+",1.88262403903809e-07,0.000379963966529775,-100
"3099986","scaffold1644",11946,11945,"+",3.20046086636474e-07,0.000557008526394413,-100
"3151697","scaffold1665",182988,182987,"+",5.09877343906151e-07,0.000783944827143809,-100
"3158100","scaffold1670",78140,78139,"+",1.29430402683869e-07,0.000287119447971822,-100
"3173813","scaffold1671",247768,247767,"+",3.28712133800302e-08,0.000102044670030825,-100
"3250594","scaffold1690",29962,29961,"+",2.67078608712745e-08,8.75315636088822e-05,-100
"3423814","scaffold1726",371955,371954,"+",2.25468136673824e-08,7.68176734596444e-05,-100
"3452715","scaffold1735",25057,25056,"+",7.6201449199161e-08,0.00019250550358439,-100
"3496001","scaffold1741",97457,97456,"+",1.83058653823272e-08,6.50570884650058e-05,-100
"3560389","scaffold1750",400401,400400,"+",5.09877343906151e-07,0.000783944827143809,-100
"3663778","scaffold1780",218461,218460,"+",2.55702325769859e-10,2.32234108197304e-06,-100
