"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"4914","C20084",784,783,"+",3.21739452174234e-07,0.000559249283795631,100
"13280","C22628",1624,1623,"+",4.00617913069118e-07,0.000660176468505552,100
"55285","C26960",2379,2378,"+",4.91207387759113e-07,0.000772012993882481,100
"85770","C28982",4932,4931,"+",4.65675522883759e-08,0.000133638238281219,100
"193826","C33708",8310,8309,"+",1.03544322147095e-07,0.000242819423249498,100
"199953","C34158",8562,8561,"+",2.24346031318706e-07,0.000427027848336781,100
"202441","C34256",15596,15595,"+",9.98501748126939e-08,0.000236988835033379,100
"263908","scaffold100",676767,676766,"+",4.9925087406347e-08,0.000139577553633372,100
"318682","scaffold1009",963656,963655,"+",1.92296598273176e-07,0.000383769671062854,100
"341838","scaffold101",170458,170457,"+",6.4009217327295e-07,0.000933033475374896,100
"383843","scaffold1017",395468,395467,"+",1.29430402683869e-07,0.000287119447971822,100
"434865","scaffold102",1287051,1287050,"+",5.38802532492594e-10,4.18431022712314e-06,100
"450161","scaffold1021",40392,40391,"+",1.44782753478406e-07,0.000312970287786169,100
"450782","scaffold1021",65347,65346,"+",1.28934500757877e-08,4.99908747415555e-05,100
"459207","scaffold1021",484590,484589,"+",7.6201449199161e-08,0.00019250550358439,100
"463716","scaffold1021",749255,749254,"+",2.1336405775765e-07,0.000411756869851653,100
"467561","scaffold1024",215504,215503,"+",1.03544322147095e-07,0.000242819423249498,100
"494467","scaffold1024",1308347,1308346,"+",2.67078608712745e-08,8.75315636088822e-05,100
"495091","scaffold1024",1343502,1343501,"+",4.00617913069118e-07,0.000660176468505552,100
"519558","scaffold1031",425968,425967,"+",1.92296598273177e-07,0.000383769671062854,100
"531283","scaffold1032",370267,370266,"+",1.03544322147095e-07,0.000242819423249498,100
"584571","scaffold1045",80802,80801,"+",1.03544322147095e-07,0.000242819423249498,100
"584965","scaffold1045",101889,101888,"+",2.91539334264082e-12,5.60156376345904e-08,100
"595796","scaffold1050",80917,80916,"+",4.65675522883759e-08,0.000133638238281219,100
"598751","scaffold1050",212932,212931,"+",2.12118049633927e-09,1.23323852351164e-05,100
"612755","scaffold1054",219086,219085,"+",2.67078608712745e-08,8.75315636088822e-05,100
"678895","scaffold107",1009660,1009659,"+",1.76765041361606e-09,1.06095349020214e-05,100
"691634","scaffold1077",447927,447926,"+",9.98501748126939e-08,0.000236988835033379,100
"691640","scaffold1077",447951,447950,"+",1.18102357305337e-08,4.69939330741551e-05,100
"792113","scaffold1097",273392,273391,"+",6.59698141281586e-12,1.13624785620437e-07,100
"818638","scaffold11",354196,354195,"+",1.9269331981397e-08,6.76298687668157e-05,100
"818639","scaffold11",354212,354211,"+",1.9269331981397e-08,6.76298687668157e-05,100
"824408","scaffold110",147531,147530,"+",3.32734195504199e-09,1.74080482120741e-05,100
"838758","scaffold1101",429444,429443,"+",1.03544322147095e-07,0.000242819423249498,100
"871248","scaffold1108",243093,243092,"+",5.09877343906151e-07,0.000783944827143809,100
"875391","scaffold1108",487440,487439,"+",2.34079766894005e-07,0.000440884614792247,100
"888263","scaffold1116",120475,120474,"+",2.24346031318706e-07,0.000427027848336781,100
"892401","scaffold1117",38000,37999,"+",7.66994978867368e-08,0.000192694945010162,100
"892405","scaffold1117",38328,38327,"+",1.03417385089143e-10,1.12710953845092e-06,100
